,,Q2,y bin,Yield (100 fb^-1),xL,xpi
15,0.1,"[15.156683538341895, 15.385169884422794]","[0.051190013982510656, 0.27139087931542183]","[299447.78801338945, 363879.4306746152]","[0.8022722855674896, 0.9061161116406864]","[0.05495037086909681, 0.047032068203438325]"
15,0.2,"[14.87579737836495, 15.216321869986132]","[0.018705319297001352, 0.18761642441663479]","[263879.8956531655, 344532.5669813985]","[0.9713161978491998, 0.8855549229964683]","[0.147717144072828, 0.15476833642101842]"
15,0.3,"[15.07674928731285, 15.461949083721265]","[0.010997684345135253, 0.06391300868302893]","[212929.9303956278, 305158.16453567747]","[0.9803758579404014, 0.933212285567663]","[0.254216199913028, 0.24684472231790505]"
30,0.1,"[29.899494267534465, 29.96682144026272]","[0.10508970633857072, 0.54122533494219]","[305716.59747750487, 395354.80371874257]","[0.9232258660945885, 0.975689307553537]","[0.054923637578758455, 0.045593016759429346]"
30,0.2,"[29.82388107571751, 29.819856049492955]","[0.037135142468354566, 0.5424815435353096]","[257134.77404638362, 395645.069455689]","[0.9800882298991557, 0.9202635385288119]","[0.14881841877634405, 0.1491070395183977]"
30,0.3,"[30.055540365632623, 29.546943145338446]","[0.022851827507068535, 0.5055259948012475]","[208225.46261906362, 390543.5461090907]","[0.8369973901061264, 0.7376719208993902]","[0.24997685537775322, 0.24637453613543955]"
30,0.4,"[29.68623038381338, 29.599809431936592]","[0.01721687325417305, 0.2853613414203375]","[164178.2603993134, 352664.27831853315]","[0.9515053977543435, 0.9669084118608184]","[0.3456797921437523, 0.3519383725313183]"
30,0.5,"[29.52874176390469, 30.047386910766363]","[0.01309181574177049, 0.19357511628269844]","[107259.45882770537, 331828.90102126106]","[0.9864850130655429, 0.8608134905985002]","[0.45181268186844953, 0.4540146889747115]"
30,0.6,"[29.51218064688146, 29.964660678291693]","[0.011008922723721157, 0.1338547129725634]","[68289.7635507412, 315407.3073370884]","[0.9437110583762524, 0.7971077349361338]","[0.5528859580999386, 0.5530706411620204]"
60,0.1,"[60.139114417368546, 59.80251213046722]","[0.2114888354088115, 0.9115785583469211]","[309700.1695275379, 407281.18054526264]","[0.8812734164035939, 0.9372722207248625]","[0.05396819825882419, 0.04581881800501611]"
60,0.2,"[60.460993942804635, 59.56304165930487]","[0.07499219444095011, 0.8993203843066261]","[250809.5391745613, 406352.43425491126]","[0.9525287078648478, 1.0379007374029048]","[0.15078191702392477, 0.15109621204188153]"
60,0.3,"[59.85265393764712, 60.43909760960378]","[0.04499608470891782, 0.41719435973835345]","[197451.9298310041, 347417.9261014926]","[0.9405342857986355, 0.863421465381358]","[0.24702457967277694, 0.2499129910884438]"
60,0.4,"[59.80207632994279, 59.92756782704964]","[0.03178191471006565, 0.7580327341146998]","[137162.8262097866, 391316.6750750576]","[0.8290977127552359, 0.921393134555821]","[0.3487825209956809, 0.34776638539814914]"
60,0.5,"[59.942018837668, 59.95047924667597]","[0.025247674886062527, 0.8831248453466889]","[87386.84279841805, 404466.71834192716]","[0.8787568922571861, 0.8255716517450254]","[0.44973539287677383, 0.45378351049801174]"
60,0.6,"[59.58516094670631, 60.21314090490341]","[0.020478132088503073, 0.5948303221051974]","[46607.39249020498, 372063.919391297]","[0.9417611031296377, 0.8697146112956606]","[0.55328610433655, 0.5505330500602756]"
60,0.7,"[59.500248624477535, 60.24290964752436]","[0.01701350078369122, 0.32811426678790334]","[18521.86289920285, 333034.69215177564]","[0.8860182151143059, 0.7957142022725507]","[0.6484567680463735, 0.6499429467914496]"
120,0.1,"[120.14757977728732, 120.44171178690158]","[0.42520617247387615, 0.9442955809751168]","[312944.7403362163, 367526.6473289713]","[0.8003719631466245, 0.8541427927607429]","[0.054502611980955476, 0.04918110442813797]"
120,0.2,"[119.95739484834485, 120.33799532847479]","[0.16089728029182995, 0.9166334658631725]","[251820.0466768141, 365238.00268632075]","[0.9169010117591173, 0.9201679020718329]","[0.15030698334828152, 0.1504468694737832]"
120,0.3,"[119.85126527957618, 119.86885066144168]","[0.08883740289859082, 0.8581355354403429]","[187097.29489778946, 360330.4981009041]","[0.8765817697941318, 0.9720179052232781]","[0.25307356630673805, 0.2529841914357244]"
120,0.4,"[120.44392820028588, 120.29423275333829]","[0.06393660811143632, 0.6265265558904498]","[128606.13163916708, 337371.14845880726]","[0.8913380778881674, 0.9114831790099442]","[0.3539122940204855, 0.3464132257912218]"
120,0.5,"[119.80643963464536, 119.8230849839747]","[0.05224395222995062, 0.5006764622535215]","[88342.8076718868, 323060.74592116376]","[0.852052727141942, 0.8906957967433076]","[0.45080228136968237, 0.4495008730988765]"
120,0.6,"[120.32273545535281, 120.19159005349502]","[0.04123682409469734, 0.7523160036187936]","[41508.51442780963, 350306.5627292249]","[0.9044877056624417, 0.8876246490342596]","[0.5515355992945411, 0.5459871460030037]"
120,0.7,"[119.60186840873212, 119.63415378029458]","[0.04018008983430836, 0.768875429338983]","[38353.519368197296, 352040.61120090145]","[0.8527717990633978, 0.8172925744590239]","[0.6510255985691509, 0.6514630297120312]"
240,0.1,"[240.0233550441917, 239.76380579872057]","[0.8188797760489189, 0.9319054962475942]","[312489.62053798034, 321420.8940936974]","[1.008393780743394, 0.9164687802273825]","[0.05480008225816835, 0.054151912025958794]"
240,0.2,"[240.42315526190214, 239.74997508642264]","[0.2951756588521596, 0.9057113857540342]","[239170.30629021395, 319580.6602732245]","[0.7670857829324115, 0.9971803936991435]","[0.1549793198208759, 0.14632916817784425]"
240,0.3,"[239.97375790053047, 239.66265685716644]","[0.18359264202788209, 0.9346292416460076]","[184372.68013259137, 321644.01881893614]","[0.8411035578312677, 1.0151628151214291]","[0.24747872313827143, 0.24561475970672123]"
240,0.4,"[239.86259821080603, 239.6623280607164]","[0.1316080429049684, 0.7194512388337251]","[127651.14246929961, 304071.24790654925]","[0.805861735948647, 0.8862321764924448]","[0.3491645275757071, 0.3520995343023912]"
240,0.5,"[239.78986564767547, 239.91042612749152]","[0.10705816483242388, 0.679877254073306]","[86863.98161183011, 300202.0439890763]","[0.8774825006203162, 0.8867885418776846]","[0.454363962966709, 0.4533537085102952]"
240,0.6,"[240.3713629662525, 239.65388798364438]","[0.08423873865104561, 0.767242130005699]","[41514.977225785224, 308268.54984557006]","[0.8943570814611986, 0.8686440379915167]","[0.5516574886064768, 0.5529626394131705]"
240,0.7,"[240.4074204347562, 240.32712648273446]","[0.07109291857692346, 0.5826291601548368]","[18284.616048373813, 289975.4317173553]","[0.8674382501517821, 0.8409500896526889]","[0.6467549544518147, 0.6540708461756066]"
480,0.2,"[479.5310630435124, 480.0685111647472]","[0.618472012996548, 0.9235769821455583]","[238878.94523885244, 271835.40867114364]","[0.9132008153985118, 0.9032588981124386]","[0.15271488481115977, 0.14601068785131477]"
480,0.3,"[479.8218330803793, 480.20485921856016]","[0.3670969519236002, 0.8760833196420512]","[177501.83330217103, 267796.35775838926]","[0.7772192914625654, 0.8911011440948622]","[0.2462769744025127, 0.2525569842928834]"
480,0.4,"[480.4223732901737, 479.87218622351065]","[0.2574184472210707, 0.9086638253805789]","[116742.06641812914, 270551.2389839953]","[0.8560213979489087, 0.8851890818096917]","[0.34936926868701945, 0.35055122797479105]"
480,0.5,"[480.26964548020624, 479.8112015691586]","[0.22126269643462218, 0.522461244099128]","[87065.60889239707, 221984.34316680505]","[0.8334748992626031, 0.8958251977966005]","[0.44541124965098977, 0.45294780296623]"
480,0.6,"[479.58925408986397, 479.7886413692031]","[0.25043416929599666, 0.7668168331645321]","[111544.63773104148, 257410.04745308153]","[0.8334929722659109, 0.9504529349525629]","[0.5490742861646697, 0.5461177229159164]"
480,0.7,"[480.1479301464278, 479.99618663452566]","[0.15544062748346194, 0.8356048020591847]","[26843.128978219873, 264177.72602442076]","[0.7626874996848437, 0.9203965291903574]","[0.6458938423945386, 0.6506891885794005]"
